year;sex;name;n;prop
1880;F;Amanda;241;0.00246916109995492
1880;F;Betty;117;0.00119872136387853
1881;F;Amanda;263;0.0026604622932578
1881;F;Betty;112;0.00113297253553184
1882;F;Amanda;288;0.00248928225694925
1882;F;Betty;123;0.00106313096390541
1883;F;Amanda;287;0.00239049134175697
1883;F;Betty;120;0.000999508574950649
1884;F;Amanda;337;0.00244937711685782
1884;F;Betty;144;0.00104661811521521
1885;F;Amanda;339;0.0023881816708818
1885;F;Betty;155;0.0010919414719371
1886;F;Amanda;370;0.0024067232138211
1886;F;Betty;167;0.00108627777488682
1887;F;Amanda;338;0.00217472429900529
1887;F;Betty;178;0.00114526900953533
1888;F;Amanda;404;0.0021325225524817
1888;F;Betty;214;0.00112960353027496
1889;F;Amanda;413;0.00218265607576406
1889;F;Betty;189;0.000998842610942876
1890;F;Amanda;392;0.00194385627364736
1890;F;Betty;216;0.00107110447731589
1891;F;Amanda;371;0.00188739717246537
1891;F;Betty;239;0.00121587041568524
1892;F;Amanda;455;0.00202298646155214
1892;F;Betty;255;0.00113376164328746
1893;F;Amanda;387;0.00171822831569226
1893;F;Betty;298;0.00132308020174753
1894;F;Amanda;418;0.00177139660637703
1894;F;Betty;298;0.00126286169545539
1895;F;Amanda;431;0.00174418369370354
1895;F;Betty;350;0.00141639047052491
1896;F;Amanda;367;0.00145638966161758
1896;F;Betty;342;0.00135718055660276
1897;F;Betty;367;0.00147819957708186
1897;F;Amanda;354;0.00142583828416071
1898;F;Betty;421;0.00153567806934991
1898;F;Amanda;371;0.00135329350054351
1899;F;Betty;410;0.00165663259121581
1899;F;Amanda;326;0.00131722493838135
1900;F;Betty;664;0.00208952875462198
1900;F;Amanda;377;0.00118637400676579
1901;F;Betty;474;0.00186443878032663
1901;F;Amanda;317;0.00124689260203279
1902;F;Betty;580;0.00206896797736977
1902;F;Amanda;301;0.00107372303653155
1903;F;Betty;596;0.00214235903924543
1903;F;Amanda;247;0.000887856850157082
1904;F;Betty;707;0.00241760646701181
1904;F;Amanda;294;0.00100534130311382
1905;F;Betty;807;0.0026043179397812
1905;F;Amanda;311;0.00100364669054765
1906;F;Betty;865;0.00275969002140754
1906;F;Amanda;260;0.000829502202966427
1907;F;Betty;1018;0.00301689520586309
1907;F;Amanda;285;0.000844612115590354
1908;F;Betty;1128;0.00318165022720029
1908;F;Amanda;260;0.000733359094922052
1909;F;Betty;1082;0.00293943460708833
1909;F;Amanda;271;0.000736216985694027
1910;F;Betty;1389;0.00331087942106091
1910;F;Amanda;278;0.000662652612710535
1911;F;Betty;1456;0.00329551936117625
1911;F;Amanda;280;0.000633753723303124
1912;F;Betty;2011;0.00342759941913183
1912;F;Amanda;310;0.000528371864709532
1913;F;Betty;2239;0.00341882168989653
1913;F;Amanda;346;0.000528321708219831
1914;F;Betty;2933;0.00368186109102595
1914;F;Amanda;375;0.000470745962882622
1915;F;Betty;4182;0.00408445504462428
1915;F;Amanda;412;0.000402390119173889
1916;F;Betty;5136;0.00473055370320565
1916;F;Amanda;421;0.000387765402852332
1917;F;Betty;6639;0.00590815002554058
1917;F;Amanda;445;0.000396012465938478
1917;F;Ashley;5;4.44957826897167e-06
1918;F;Betty;8802;0.00732058454892574
1918;F;Amanda;397;0.000330183147685017
1919;F;Betty;10107;0.00860426510024262
1919;F;Amanda;379;0.000322649299791427
1920;F;Betty;14017;0.011267340708242
1920;F;Amanda;379;0.000304653073298404
1921;F;Betty;17637;0.013782341067813
1921;F;Amanda;392;0.000306326342268112
1922;F;Betty;20893;0.0167474796217489
1922;F;Amanda;341;0.000273339900972401
1923;F;Betty;25990;0.020751890745567
1923;F;Amanda;362;0.000289041340896316
1924;F;Betty;30602;0.0236178298330807
1924;F;Amanda;341;0.000263174955005572
1925;F;Betty;32817;0.0259824266099572
1925;F;Amanda;310;0.000245438408419012
1926;F;Betty;32959;0.026793386320163
1926;F;Amanda;310;0.000252008548780319
1927;F;Betty;35422;0.0286505094035013
1927;F;Amanda;234;0.000189267099554494
1928;F;Betty;36078;0.0301810713703117
1928;F;Amanda;247;0.000206627990145434
1929;F;Betty;36669;0.0316800016587745
1929;F;Amanda;209;0.000180564518985625
1930;F;Betty;38239;0.0327853532062582
1930;F;Amanda;196;0.00016804647685417
1931;F;Betty;36102;0.0327140362625423
1931;F;Amanda;209;0.00018938655971612
1932;F;Betty;34411;0.0311083227035339
1932;F;Amanda;213;0.00019255682008232
1933;F;Betty;31526;0.0301434985810775
1933;F;Amanda;199;0.000190273305133363
1934;F;Betty;31078;0.0287181174191951
1934;F;Amanda;189;0.000174648439160431
1935;F;Betty;28673;0.0263859454097216
1935;F;Amanda;211;0.000194169932739903
1936;F;Betty;25863;0.0240043659489396
1936;F;Amanda;192;0.000178201997533016
1937;F;Betty;25328;0.0229894447152324
1937;F;Amanda;176;0.00015974977376346
1938;F;Betty;25502;0.0223441268906687
1938;F;Amanda;192;0.000168224937769916
1938;F;Ashley;7;6.13320085619484e-06
1939;F;Betty;23639;0.0208458076901709
1939;F;Amanda;185;0.000163140336845113
1940;F;Betty;22074;0.0186875852937491
1940;F;Amanda;218;0.000184556201596326
1941;F;Betty;20900;0.0167762608684484
1941;F;Amanda;223;0.000179000295390622
1941;F;Ashley;6;4.81615144548759e-06
1942;F;Betty;21654;0.0155743276046218
1942;F;Amanda;295;0.000212174500940401
1942;F;Ashley;8;5.7538847712651e-06
1943;F;Betty;21595;0.0150464003255234
1943;F;Amanda;284;0.000197878105693385
1943;F;Ashley;10;6.96753893286567e-06
1944;F;Betty;19757;0.0144588558937201
1944;F;Amanda;238;0.000174176631204402
1944;F;Ashley;12;8.78201501870935e-06
1945;F;Betty;18383;0.0136569862508924
1945;F;Amanda;280;0.00020801589241418
1945;F;Ashley;10;7.42913901479216e-06
1946;F;Betty;19714;0.012223227356121
1946;F;Amanda;274;0.000169887607567067
1946;F;Ashley;7;4.34019435390317e-06
1947;F;Betty;18962;0.0104313996020423
1947;F;Amanda;310;0.000170537595012821
1947;F;Ashley;11;6.05133401658396e-06
1948;F;Betty;16622;0.00953869161195395
1948;F;Amanda;306;0.000175600988645043
1948;F;Ashley;13;7.46017272021426e-06
1949;F;Betty;14946;0.00851381857807951
1949;F;Amanda;333;0.000189689655192056
1949;F;Ashley;11;6.26602464598385e-06
1950;F;Betty;13614;0.00773996360272735
1950;F;Amanda;379;0.000215472763730988
1950;F;Ashley;15;8.52794579410241e-06
1951;F;Betty;12820;0.00694223701403664
1951;F;Amanda;409;0.000221480104425974
1951;F;Ashley;15;8.12274221611151e-06
1952;F;Betty;12125;0.00637438260490131
1952;F;Amanda;418;0.000219751911657629
1952;F;Ashley;24;1.26173346406294e-05
1953;F;Betty;11367;0.00589234228770306
1953;F;Amanda;428;0.000221863508325584
1953;F;Ashley;15;7.7755902450555e-06
1954;F;Betty;10615;0.00533247732378461
1954;F;Amanda;428;0.000215007093224664
1954;F;Ashley;21;1.0549413452612e-05
1955;F;Betty;9928;0.00495316989402671
1955;F;Amanda;452;0.000225506929099524
1955;F;Ashley;8;3.9912730814075e-06
1956;F;Betty;9213;0.00447378516313558
1956;F;Amanda;643;0.000312237475295363
1956;F;Ashley;25;1.21398707346564e-05
1957;F;Betty;8474;0.00404001685803589
1957;F;Amanda;667;0.000317995190501527
1957;F;Ashley;27;1.28723690307964e-05
1958;F;Betty;7709;0.00373315202679308
1958;F;Amanda;796;0.00038547010161205
1958;F;Ashley;38;1.84018390216808e-05
1959;F;Betty;7317;0.00352036611422691
1959;F;Amanda;858;0.000412802258576833
1959;F;Ashley;37;1.78014959992341e-05
1960;F;Betty;6503;0.00312654752804181
1960;F;Amanda;977;0.000469727346593395
1960;F;Ashley;57;2.74047684297068e-05
1961;F;Betty;5580;0.00268756998880179
1961;F;Amanda;1057;0.0005090970390974
1961;F;Ashley;80;3.85314693735024e-05
1962;F;Betty;4765;0.00235074380197906
1962;F;Amanda;948;0.000467682082744208
1962;F;Ashley;95;4.6866875380485e-05
1963;F;Betty;4154;0.00208965284799461
1963;F;Amanda;1035;0.000520652551197501
1963;F;Ashley;108;5.4328961864087e-05
1964;F;Betty;4067;0.00207798763732755
1964;F;Amanda;1275;0.000651446825078097
1964;F;Ashley;180;9.19689635404372e-05
1965;F;Betty;3565;0.00195092106458452
1965;F;Amanda;1650;0.000902950843356088
1965;F;Ashley;218;0.000119298959910077
1966;F;Betty;2948;0.00167924103773451
1966;F;Amanda;2329;0.00132664598944493
1966;F;Ashley;263;0.000149810173990561
1967;F;Amanda;2663;0.00155127358221284
1967;F;Betty;2543;0.00148137015379919
1967;F;Ashley;386;0.000224856028063896
1968;F;Amanda;2430;0.00142148489599176
1968;F;Betty;2134;0.00124833282635655
1968;F;Ashley;544;0.000318225425275522
1969;F;Amanda;2817;0.00159809839339203
1969;F;Betty;2133;0.00121006172279205
1969;F;Ashley;643;0.000364777162566942
1970;F;Amanda;3550;0.00193781946727978
1970;F;Betty;1967;0.0010737157442646
1970;F;Ashley;932;0.000508745843240776
1971;F;Amanda;4133;0.00235853901832733
1971;F;Betty;1763;0.00100607410822915
1971;F;Ashley;1164;0.000664248588757079
1972;F;Amanda;4181;0.00259282962610169
1972;F;Betty;1366;0.000847119174660346
1972;F;Ashley;1176;0.000729291471010664
1973;F;Amanda;5627;0.00362095249004029
1973;F;Betty;1323;0.000851345325097441
1973;F;Ashley;1253;0.00080630059890181
1974;F;Amanda;7476;0.00477346474621335
1974;F;Ashley;1626;0.00103820942714592
1974;F;Betty;1130;0.000721510856503622
1975;F;Amanda;12653;0.00810723358994813
1975;F;Ashley;1988;0.00127378332228064
1975;F;Betty;1021;0.000654191535235679
1976;F;Amanda;15591;0.00991856357366017
1976;F;Ashley;2292;0.00145810709453076
1976;F;Betty;908;0.000577644520869953
1977;F;Amanda;18280;0.01111327945703
1977;F;Ashley;2706;0.00164510581021461
1977;F;Betty;807;0.000490613595285732
1978;F;Amanda;20522;0.0124847985623197
1978;F;Ashley;3484;0.00211953212119295
1978;F;Betty;715;0.000434978606961239
1979;F;Amanda;31927;0.018529201469011
1979;F;Ashley;4450;0.0025826086552792
1979;F;Betty;711;0.000412637023349104
1980;F;Amanda;35819;0.0201204564808553
1980;F;Ashley;7296;0.00409835144711801
1980;F;Betty;658;0.000369615577330544
1981;F;Amanda;34373;0.0192239288782304
1981;F;Ashley;8877;0.00496467624740497
1981;F;Betty;662;0.000370239458801632
1982;F;Amanda;34210;0.0188618284229725
1982;F;Ashley;14851;0.00818816176292209
1982;F;Betty;635;0.000350109940034713
1983;F;Amanda;33754;0.0188664164484477
1983;F;Ashley;33290;0.0186070688975773
1983;F;Betty;563;0.000314682480905257
1984;F;Ashley;38759;0.0215019463757801
1984;F;Amanda;33906;0.0188096956530664
1984;F;Betty;503;0.000279044325886049
1985;F;Ashley;47007;0.0254696003276962
1985;F;Amanda;39050;0.0211582932924147
1985;F;Betty;502;0.000271996497638724
1986;F;Ashley;49674;0.0269274594602799
1986;F;Amanda;40522;0.0219663105900363
1986;F;Betty;407;0.000220628014662277
1987;F;Ashley;54845;0.029272929705472
1987;F;Amanda;41786;0.0223028287113293
1987;F;Betty;435;0.000232176578026809
1988;F;Ashley;49963;0.025991760752821
1988;F;Amanda;39451;0.0205232062418098
1988;F;Betty;395;0.000205486970305312
1989;F;Ashley;47585;0.0238906067767286
1989;F;Amanda;36827;0.0184894268312827
1989;F;Betty;399;0.000200322624858983
1990;F;Ashley;45553;0.0221809201140185
1990;F;Amanda;34405;0.0167526739517223
1990;F;Betty;406;0.00019769177806712
1991;F;Ashley;43482;0.0213883278618854
1991;F;Amanda;28887;0.0142092044281837
1991;F;Betty;345;0.000169701787230359
1992;F;Ashley;38452;0.0191860354880783
1992;F;Amanda;25034;0.0124909812859813
1992;F;Betty;296;0.000147692356820742
1993;F;Ashley;34847;0.0176795978141367
1993;F;Amanda;20809;0.0105574296471538
1993;F;Betty;292;0.000148145968425629
1994;F;Ashley;30278;0.0155361426463986
1994;F;Amanda;18715;0.00960297607594125
1994;F;Betty;275;0.00014110704893849
1995;F;Ashley;26603;0.0138482640868074
1995;F;Amanda;16345;0.00850843425549248
1995;F;Betty;234;0.00012180933715419
1996;F;Ashley;23676;0.0123526226105793
1996;F;Amanda;13973;0.00729021776219062
1996;F;Betty;217;0.000113216721848949
1997;F;Ashley;20895;0.0109480388627872
1997;F;Amanda;12239;0.00641268473996901
1997;F;Betty;189;9.90274872010902e-05
1998;F;Ashley;19871;0.0102549361330773
1998;F;Amanda;10908;0.00562935148405249
1998;F;Betty;194;0.000100118645755976
1999;F;Ashley;18132;0.00931837897619116
1999;F;Amanda;9741;0.00500608480074333
1999;F;Betty;182;9.35332546694679e-05
2000;F;Ashley;17997;0.00902349055709788
2000;F;Amanda;8550;0.00428687249337039
2000;F;Betty;174;8.72416156545553e-05
2001;F;Ashley;16524;0.00834726311913036
2001;F;Amanda;6963;0.00351742877623485
2001;F;Betty;153;7.72894733252811e-05
2002;F;Ashley;15339;0.00777226488632702
2002;F;Amanda;6132;0.00310708183603607
2002;F;Betty;127;6.43508468976811e-05
2003;F;Ashley;14512;0.00723815072032368
2003;F;Amanda;5339;0.00266293320671225
2003;F;Betty;142;7.08253446999699e-05
2004;F;Ashley;14370;0.00712775344818093
2004;F;Amanda;4677;0.00231986798031609
2004;F;Betty;136;6.7458209391274e-05
2005;F;Ashley;13270;0.00654498034039816
2005;F;Amanda;4088;0.00201626824653713
2005;F;Betty;132;6.51045519919034e-05
2006;F;Ashley;12340;0.00590922303294464
2006;F;Amanda;3355;0.00160659994129086
2006;F;Betty;135;6.46470915273522e-05
2007;F;Ashley;11423;0.00540374075290008
2007;F;Amanda;3038;0.00143714999626284
2007;F;Betty;134;6.33897628371366e-05
2008;F;Ashley;9402;0.00452030531532519
2008;F;Amanda;2439;0.00117262546948289
2008;F;Betty;137;6.58670312911669e-05
2009;F;Ashley;7811;0.00386339097012116
2009;F;Amanda;1952;0.000965476785773462
2009;F;Betty;148;7.32021333475781e-05
2010;F;Ashley;6306;0.00322252105804575
2010;F;Amanda;1655;0.000845745694745594
2010;F;Betty;132;6.74552457440595e-05
2011;F;Ashley;5398;0.00279205644940212
2011;F;Amanda;1409;0.000728789836459354
2011;F;Betty;167;8.63789231289653e-05
2012;F;Ashley;4696;0.00242806420306393
2012;F;Amanda;1228;0.00063493672090343
2012;F;Betty;140;7.2386922578567e-05
2013;F;Ashley;3936;0.00204898297876106
2013;F;Amanda;1064;0.000553891740193539
2013;F;Betty;174;9.05800402196202e-05
2014;F;Ashley;3547;0.00182125980653672
2014;F;Amanda;1048;0.000538111157950515
2014;F;Betty;193;9.90987151569174e-05
2015;F;Ashley;3409;0.00176165787043521
2015;F;Amanda;1013;0.000523484723599549
2015;F;Betty;186;9.61186165740535e-05
